Berkley Sensation,251
Berkley Trade,252
Berlitz Kids,253
Berrett-Koehler Publishers,254
Bertrand,255
Bethany House Publishers,256
Better Homes and Gardens Books,257
Between the Lines Productions,258
BiblioLife,259
Big Finish,260
Billboard Books,261
Birlinn,262
Birlinn Ltd,263
Bison Books,264
Black Classic Press,265
Black Dog & Leventhal,266
Black Dog & Leventhal Publishers,267
Black Lizard Books,268
Black Sparrow Press,269
Black Swan,270
Blackstone Audiobooks,271
Blackstone Publishing,272
Blackwell Publishers,273
Blackwell Publishing Inc.,274
Blanvalet Taschenbuch,275
Blanvalet Taschenbuch Verlag,276
Blanvalet Verlag GmbH,277
Blood Moon Productions,278
Bloomsbury,279
Bloomsbury (NYC,
Bloomsbury / Continuum,281
Bloomsbury Academic,282
Bloomsbury Arden Shakespeare,283
Bloomsbury Children''s Books,284
Bloomsbury Childrens Books,285
Bloomsbury Methuen Drama,286
Bloomsbury Paperbacks,287
Bloomsbury Publishing,288
Bloomsbury Publishing PLC,289
Bloomsbury U.S.A. Children''s Books,290
Bloomsbury UK,291
Bloomsbury USA,292
Bloomsbury USA Children''s Books,293
Bloomsbury USA Childrens,294
Blu,295
Blue Sky Press,296
Bolchazy-Carducci Publishers,297
Bold Strokes Books,298
Bollingen/Princeton University Press (NJ,
Book of the Month Club,300
Book Publishing Company,301
Book Publishing Company (TN,
Bookclub-In-A-Box,303
Booket,304
Booklocker.com Inc.,305
Books on Tape,306
Booksales,307
Bookspan,308
Boosey & Hawkes Inc,309
Borgo Press,310
Boston Common Press,311
Bradford Book,312
BradyGames,313
Bragelonne,314
Brava,315
Bright Sky Press,316
Brill/Rodopi,317
Brilliance Audio,318
Bristol Classical Press,319
British Academy,320
British Film Institute,321
British Library,322
Broadview Press Inc,323
Broadway,324
Broadway Books,325
Broadway Business,326
Broadway/Crown Publishing Group,327
Brookline Books,328
Brown Son & Ferguson Ltd.,329
Bruno Gmünder,330
Bryn Mawr Commentaries,331
btb,332
Buccaneer Books,333
Bulfinch,334
Bureau of Public Secrets,335
Burford Books,336
Business Plus,337
Byblos,338
C. Bange,339
Caedmon,340
Cambridge University Press,341
Cambridge University Press/The New Cambridge Shakespeare,342
Canadian Broadcasting Corporation (CBC Audio,
Candlewick,344
Candlewick Press,345
Candlewick Press (MA,
Canongate Books,347
Canongate U.S.,348
Capstone Press,349
Cardoza,350
Carl Hanser,351
Carlsen,352
Carlton Publishing Group,353
Carole Marsh Mysteries,354
Carroll & Graf,355
Carroll & Graf Publishers,356
Cartago,357
Cartwheel,358
Casa Creacion,359
Castle Books,360
Cátedra,361
Catholic Book Publishing,362
Cavendish Square Publishing,363
CDS Books,364
Cedar Books,365
Celestial Arts,366
Cemetery Dance Publications,367
Cengage Learning,368
Center Point,369
Century,370
Chalice Press,371
Challenge Press Inc./Challcrest Press,372
Changeling Press,373
Chaosium,374
Charles Scribner''s Sons,375
Charlesbridge,376
Charnwood,377
Chartwell Books,378
Chatto Windus,379
Chatto & Windus,380
Chatto and Windus,381
Checkmark Books,382
Chelsea House Publications,383
Chelsea House Publishers,384
Cherry Lane Music Company,385
Cherry Red Books,386
Chicago Review Press,387
Chicken House,388
Chicken House / Scholastic,389
Child''s Play International,390
Children''s Classics,391
Children''s Press(CT,
Chosen Books,393
Christian Classics,394
Chronicle Books,395
Chu Hartley Publishers LLC,396
Churchill Livingstone,397
Circlet Press,398
Círculo de Lectores,399
Cisne,400
Cistercian Publications,401
Citadel,402
Citadel Press,403
City Lights,404
City Lights Publishers,405
Civitas Books,406
Claassen Verlag,407
Clarendon Press,408
Clarion Books,409
Clarity Press,410
Clarkson Potter,411
Clarkson Potter Publishers,412
Clarkson Potter/Publishers,413
Classic Books,414
Cleis Press,415
Cliffs Notes,416
CMX,417
Coffee House Press,418
Cold Spring Harbor Laboratory Press,419
Cold Spring Press,420
Collection of Historical Scientific Instruments,421
Collector''s Library,422
Collectors Library,423
Collier Books,424
Collins,425
Collins Design,426
Collins Modern Classics,427
Collins Publishers,428
Collins Reference,429
Columbia Pictures Pubns,430
Columbia University Press,431
ComicsLit,432
ComicsOne Corporation,433
Companhia das Letras,434
Conari Press,435
Condor Books,436
Contemporary Books,437
Contemporary French Fiction,438
Continuum,439
Cook''s Illustrated,440
Cooper Square Press,441
Cooper Square Publishers,442
Copernicus Books,443
Copper Canyon Press,444
Corgi,445
Corgi Books,446
Corgi Books (Adult,
Corgi Childrens,448
Cornell University Press,449
Cornerstone Press Chicago,450
Coronet,451
Coronet Books (GB,
Cosimo Classics,453
Cosmos Books (OH,
Council Oak Books,455
Council Press,456
Counterpoint,457
Counterpoint LLC,458
Countryman Press,459
Courage Books,460
Course Technology,461
CQ Press,462
CRC Press,463
Creation Books,464
Crescent,465
Critica (Grijalbo Mondadori,
Crossing Press,467
Crossroad,468
Crossroad Publishing Company,469
Crossway Books,470
Crown,471
Crown Business,472
Crown Forum,473
Crown Journeys/Crown Publishers/Crown Publishing Group/Random House,474
Crown Publishers,475
Crown Publishing Group,476
Crown Publishing Group (NY,
Cruithne Press,478
Crystal Clarity Publishers,479
Cumberland House Publishing,480
Cybereditions Corp,481
Da Capo Press,482
Dabel Brothers Productions,483
Dabel Brothers Publishing,484
Dafina Books,485
Daimon Verlag,486
Dalkey Archive Press,487
Dante University of America Press,488
Dark Horse,489
Dark Horse Books,490
Dark Horse Comics,491
Dark Horse Manga,492
Dartmouth College Press,493
Darton Longman & Todd,494
David C Cook,495
David C. Cook,496
David R. Godine,497
David R. Godine Publisher,498
DAW,499
Daw Books,500
DAW Books (NY,
DAW Books Inc,502
DAW Fantasy,503
DAW Hardcover,504
DAW SF,505
DC Comics,506
DC Comics Vertigo,507
De Boekerij,508
Deadite Press (Eraserhead Press,
DEBOLS!LLO,510
Debolsillo,511
Dedalus,512
Dedalus Limited,513
Del Rey,514
Del Rey Ballantine Random House,515
Del Rey Books,516
Del Rey Books (NY,
Del Rey Fantasy,518
Del Rey/Ballantine Books,519
Delacorte Books,520
Delacorte Books for Young Readers,521
Delacorte Press,522
Delcourt,523
Dell,524
Dell Laurel-Leaf,525
Dell Publishing,526
Dell Publishing Company,527
Dell Yearling,528
Delmar Thomson Learning,529
Delta,530
Delta Publishing,531
Denoël,532
Deodand,533
Deodand Publishing,534
Dervy,535
Deseret Book Company,536
Destino Ediciones,537
Destiny Books,538
Destiny Image Incorporated,539
Deutscher Taschenbuch Verlag,540
Devil''s Due Publishing,541
DeVorss & Company,542
Dey Street Books,543
Dhv der Hörverlag,544
Dial,545
Dial Books,546
Dial Press,547
Dial Press Trade Paperback,548
Diamond/Charter,549
Diana TB,550
Digireads.com,551
Digital Manga Publishing,552
Digital Manga Publishing / Dark Horse,553
Diogenes,554
Diogenes Verlag,555
Disinformation Books,556
Disinformation Company,557
Disney Editions,558
Disney Enterprises,559
Disney Hyperion Books,560
Disney Press,561
Disney-Hyperion,562
Distribooks,563
DK,564
DK Children,565
DK Publishing,566
DK Publishing (Dorling Kindersley,
Do-Not Press,568
