Beltz und Gelberg,237.0
BenBella Books,238.0
Benjamin Cummings,239.0
Benjamin-Cummings Publishing Company,240.0
Benziger,241.0
Berkley,242.0
Berkley Books,243.0
Berkley Hardcover,245.0
Berkley Heat,246.0
Berkley Prime Crime,247.0
Berkley Prime Crime Books,248.0
Berkley Publishing,249.0
Berkley Publishing Group,250.0
Berkley Sensation,251.0
Berkley Trade,252.0
Berlitz Kids,253.0
Berrett-Koehler Publishers,254.0
Bertrand,255.0
Bethany House Publishers,256.0
Better Homes and Gardens Books,257.0
Between the Lines Productions,258.0
BiblioLife,259.0
Big Finish,260.0
Billboard Books,261.0
Birlinn,262.0
Birlinn Ltd,263.0
Bison Books,264.0
Black Classic Press,265.0
Black Dog & Leventhal,266.0
Black Dog & Leventhal Publishers,267.0
Black Lizard Books,268.0
Black Sparrow Press,269.0
Black Swan,270.0
Blackstone Audiobooks,271.0
Blackstone Publishing,272.0
Blackwell Publishers,273.0
Blackwell Publishing Inc.,274.0
Blanvalet Taschenbuch,275.0
Blanvalet Taschenbuch Verlag,276.0
Blanvalet Verlag GmbH,277.0
Blood Moon Productions,278.0
Bloomsbury,279.0
Bloomsbury / Continuum,281.0
Bloomsbury Academic,282.0
Bloomsbury Arden Shakespeare,283.0
Bloomsbury Children''s Books,284.0
Bloomsbury Childrens Books,285.0
Bloomsbury Methuen Drama,286.0
Bloomsbury Paperbacks,287.0
Bloomsbury Publishing,288.0
Bloomsbury Publishing PLC,289.0
Bloomsbury U.S.A. Children''s Books,290.0
Bloomsbury UK,291.0
Bloomsbury USA,292.0
Bloomsbury USA Children''s Books,293.0
Bloomsbury USA Childrens,294.0
Blu,295.0
Blue Sky Press,296.0
Bolchazy-Carducci Publishers,297.0
Bold Strokes Books,298.0
Book of the Month Club,300.0
Book Publishing Company,301.0
Bookclub-In-A-Box,303.0
Booket,304.0
Booklocker.com Inc.,305.0
Books on Tape,306.0
Booksales,307.0
Bookspan,308.0
Boosey & Hawkes Inc,309.0
Borgo Press,310.0
Boston Common Press,311.0
Bradford Book,312.0
BradyGames,313.0
Bragelonne,314.0
Brava,315.0
Bright Sky Press,316.0
Brill/Rodopi,317.0
Brilliance Audio,318.0
Bristol Classical Press,319.0
British Academy,320.0
British Film Institute,321.0
British Library,322.0
Broadview Press Inc,323.0
Broadway,324.0
Broadway Books,325.0
Broadway Business,326.0
Broadway/Crown Publishing Group,327.0
Brookline Books,328.0
Brown Son & Ferguson Ltd.,329.0
Bruno Gmünder,330.0
Bryn Mawr Commentaries,331.0
btb,332.0
Buccaneer Books,333.0
Bulfinch,334.0
Bureau of Public Secrets,335.0
Burford Books,336.0
Business Plus,337.0
Byblos,338.0
C. Bange,339.0
Caedmon,340.0
Cambridge University Press,341.0
Cambridge University Press/The New Cambridge Shakespeare,342.0
Candlewick,344.0
Candlewick Press,345.0
Canongate Books,347.0
Canongate U.S.,348.0
Capstone Press,349.0
Cardoza,350.0
Carl Hanser,351.0
Carlsen,352.0
Carlton Publishing Group,353.0
Carole Marsh Mysteries,354.0
Carroll & Graf,355.0
Carroll & Graf Publishers,356.0
Cartago,357.0
Cartwheel,358.0
Casa Creacion,359.0
Castle Books,360.0
Cátedra,361.0
Catholic Book Publishing,362.0
Cavendish Square Publishing,363.0
CDS Books,364.0
Cedar Books,365.0
Celestial Arts,366.0
Cemetery Dance Publications,367.0
Cengage Learning,368.0
Center Point,369.0
Century,370.0
Chalice Press,371.0
Challenge Press Inc./Challcrest Press,372.0
Changeling Press,373.0
Chaosium,374.0
Charles Scribner''s Sons,375.0
Charlesbridge,376.0
Charnwood,377.0
Chartwell Books,378.0
Chatto Windus,379.0
Chatto & Windus,380.0
Chatto and Windus,381.0
Checkmark Books,382.0
Chelsea House Publications,383.0
Chelsea House Publishers,384.0
Cherry Lane Music Company,385.0
Cherry Red Books,386.0
Chicago Review Press,387.0
Chicken House,388.0
Chicken House / Scholastic,389.0
Child''s Play International,390.0
Children''s Classics,391.0
Chosen Books,393.0
Christian Classics,394.0
Chronicle Books,395.0
Chu Hartley Publishers LLC,396.0
Churchill Livingstone,397.0
Circlet Press,398.0
Círculo de Lectores,399.0
Cisne,400.0
Cistercian Publications,401.0
Citadel,402.0
Citadel Press,403.0
City Lights,404.0
City Lights Publishers,405.0
Civitas Books,406.0
Claassen Verlag,407.0
Clarendon Press,408.0
